interface	non_interface
1.57142857143	3.31428571429
2.05882352941	3.19708029197
2.5	3.35211267606
1.75	3.37313432836
2.27777777778	3.36029411765
1.72222222222	3.36764705882
2.22222222222	3.57352941176
1.76470588235	3.56934306569
2.05882352941	3.56204379562
1.90476190476	3.40601503759
1.66666666667	3.19852941176
1.88888888889	3.43382352941
2.47058823529	3.24817518248
1.83333333333	3.25735294118
1.86666666667	3.09352517986
2.05555555556	3.79411764706
1.6	3.69784172662
2.68421052632	3.62222222222
2.05555555556	3.44852941176
1.95	3.32835820896
2.57142857143	3.35714285714
2.8	3.25179856115
1.9375	3.49275362319
1.52380952381	3.44360902256
1.66666666667	3.05882352941
1.89473684211	3.51111111111
1.64705882353	3.57664233577
2.5625	3.23913043478
1.82352941176	3.45255474453
2.13636363636	3.59848484848
1.75	3.40579710145
1.57142857143	3.25
2.73333333333	3.36690647482
2.3125	3.24637681159
3.0	3.45652173913
1.66666666667	3.12230215827
2.0	3.52985074627
1.61111111111	3.47058823529
2.44444444444	3.21323529412
1.73684210526	3.42222222222
1.85	3.49253731343
2.26315789474	3.39259259259
2.58823529412	3.4598540146
2.17647058824	3.29197080292
2.46153846154	3.37588652482
1.85714285714	3.27067669173
2.125	3.38405797101
2.25	3.66417910448
