interface	non_interface
1.11764705882	3.27737226277
2.0	3.43795620438
1.31818181818	3.41666666667
0.809523809524	3.52631578947
1.16666666667	3.18382352941
1.28571428571	3.52142857143
1.0	3.72592592593
1.22222222222	2.88970588235
1.3	3.05970149254
1.83333333333	3.32352941176
1.16666666667	3.56617647059
1.46666666667	3.38129496403
1.38888888889	3.52941176471
1.31818181818	3.61363636364
1.4375	3.58695652174
0.944444444444	3.5
2.64285714286	3.55
1.94736842105	3.81481481481
1.55555555556	3.50735294118
2.14285714286	3.40601503759
2.61111111111	3.75
1.95238095238	3.6015037594
3.0	3.61940298507
1.63157894737	3.60740740741
2.0625	3.69565217391
2.41176470588	3.89051094891
2.35	3.39552238806
2.35714285714	3.75714285714
3.25	3.69565217391
3.66666666667	3.57553956835
2.22222222222	3.5
2.35714285714	3.57857142857
1.25	3.41791044776
1.5625	3.8115942029
0.666666666667	3.18705035971
0.75	3.40579710145
0.666666666667	3.19424460432
1.625	3.6884057971
1.0625	3.08695652174
1.0	3.57246376812
1.23529411765	3.34306569343
1.72222222222	3.55882352941
1.73684210526	3.28888888889
1.0625	3.42753623188
1.11764705882	3.73722627737
1.2	2.70503597122
1.47368421053	3.51111111111
1.41176470588	3.25547445255
